sex,address,famsize,Medu,Fedu,failures,absences,class
F,U,GT3,4,2,0,2,negative
F,U,GT3,4,4,0,6,negative
F,U,GT3,2,1,0,4,negative
F,U,GT3,4,4,0,4,negative
M,U,LE3,4,3,0,4,negative
M,U,LE3,2,2,0,0,negative
M,U,GT3,4,2,0,4,negative
M,U,GT3,4,4,0,0,positive
F,U,GT3,2,3,0,0,negative
F,R,GT3,2,2,0,8,negative
M,U,GT3,2,2,0,0,negative
M,U,GT3,4,3,0,4,positive
F,U,LE3,4,2,0,2,negative
F,U,GT3,2,1,0,8,negative
F,U,GT3,4,2,0,2,negative
F,U,GT3,4,3,0,2,negative
F,U,GT3,3,1,0,4,negative
M,U,GT3,4,2,0,0,negative
M,U,GT3,4,3,0,6,negative
F,U,GT3,3,4,0,12,negative
M,U,LE3,2,2,0,4,negative
F,U,GT3,4,2,0,4,negative
F,U,GT3,4,3,0,4,positive
F,R,GT3,1,1,1,2,negative
F,U,GT3,4,3,0,0,negative
F,U,GT3,3,2,0,26,negative
M,U,GT3,3,3,0,2,positive
F,R,GT3,3,3,1,0,negative
M,U,GT3,4,4,0,2,negative
M,U,GT3,3,4,0,6,negative
M,U,GT3,4,4,0,18,negative
F,U,GT3,0,1,3,2,negative
F,U,GT3,1,1,0,0,negative
F,U,GT3,4,4,0,0,negative
F,U,GT3,4,4,0,0,negative
F,U,LE3,1,1,0,2,negative
F,U,GT3,1,2,0,2,negative
M,U,LE3,2,1,1,6,negative
M,R,GT3,2,3,0,2,negative
M,U,GT3,3,3,1,4,negative
M,U,GT3,1,3,0,2,negative
F,U,GT3,4,2,0,0,negative
M,U,GT3,1,0,0,2,negative
M,U,LE3,4,3,0,4,negative
M,U,GT3,4,3,0,4,negative
F,U,LE3,3,3,0,56,negative
M,U,LE3,2,1,0,0,negative
F,U,GT3,1,1,0,0,negative
F,U,LE3,2,4,0,0,negative
F,U,LE3,4,4,0,0,negative
F,R,GT3,2,2,0,18,negative
F,U,GT3,4,3,0,10,negative
M,U,LE3,4,4,0,13,negative
F,U,LE3,3,2,0,2,negative
F,U,GT3,2,2,0,4,negative
M,U,GT3,2,2,0,0,negative
M,U,LE3,2,3,0,2,negative
M,R,GT3,2,2,0,4,negative
M,U,GT3,3,2,0,10,negative
M,U,GT3,2,2,1,0,negative
M,U,GT3,4,4,0,0,negative
M,U,GT3,3,1,3,16,negative
M,U,GT3,3,3,0,6,negative
M,U,LE3,1,1,1,2,negative
F,U,LE3,2,2,0,0,negative
F,U,GT3,3,3,0,4,negative
F,R,GT3,4,4,0,8,negative
F,U,GT3,2,3,0,4,negative
F,U,LE3,2,2,0,6,negative
M,U,LE3,4,3,0,8,negative
F,U,GT3,1,1,0,4,negative
F,U,GT3,1,1,0,6,negative
F,U,GT3,4,3,0,0,negative
M,U,GT3,3,3,0,4,negative
M,U,LE3,4,4,0,5,negative
F,U,GT3,3,2,0,0,positive
M,U,GT3,4,4,1,38,negative
F,U,GT3,2,1,0,20,negative
F,R,GT3,2,3,1,40,negative
F,U,GT3,4,4,0,2,negative
F,U,GT3,3,1,0,1,negative
M,R,GT3,2,2,0,8,negative
F,R,GT3,2,4,0,7,negative
F,U,GT3,3,4,0,16,negative
F,R,GT3,3,2,0,4,negative
F,U,GT3,2,2,1,0,negative
M,U,GT3,4,3,0,0,negative
M,U,GT3,3,3,0,2,negative
F,U,GT3,3,3,0,0,negative
F,U,LE3,1,1,0,0,positive
F,U,LE3,4,4,0,0,negative
F,R,GT3,1,1,1,0,negative
M,R,LE3,1,2,0,3,negative
F,R,GT3,1,1,0,2,negative
F,R,GT3,3,1,0,17,negative
M,R,GT3,1,1,1,0,negative
F,R,GT3,2,3,1,0,negative
M,U,LE3,3,1,0,3,negative
